Date,Value,f,f5,s2f
8/5/21,18703850,875,,
7/5/21,18702975,1112.5,,
6/5/21,18701862.5,1093.75,1051.25,17790.11891
5/5/21,18700768.75,1100,1103.75,16942.93884
4/5/21,18699668.75,1075,1112.5,16808.69101
3/5/21,18698593.75,1137.5,1048.75,17829.41001
2/5/21,18697456.25,1156.25,1028.75,18174.9271
1/5/21,18696300,775,935,19996.04278
30/4/21,18695525,1000,892.5,20947.36695
29/4/21,18694525,606.25,832.5,22455.88589
28/4/21,18693918.75,925,845,22122.98077
27/4/21,18692993.75,856.25,823.75,22692.5569
26/4/21,18692137.5,837.5,895,20885.06983
25/4/21,18691300,893.75,841.25,22218.4844
24/4/21,18690406.25,962.5,883.75,21148.97454
23/4/21,18689443.75,656.25,842.5,22183.31602
22/4/21,18688787.5,1068.75,800,23360.98438
21/4/21,18687718.75,631.25,742.5,25168.64478
20/4/21,18687087.5,681.25,777.5,24034.83923
19/4/21,18686406.25,675,660,28312.73674
18/4/21,18685731.25,831.25,646.25,28914.09091
17/4/21,18684900,481.25,747.5,24996.52174
16/4/21,18684418.75,562.5,767.5,24344.51954
15/4/21,18683856.25,1187.5,802.5,23282.06386
14/4/21,18682668.75,775,855,21851.07456
13/4/21,18681893.75,1006.25,955,19562.19241
12/4/21,18680887.5,743.75,883.75,21138.20368
11/4/21,18680143.75,1062.5,942.5,19819.78117
10/4/21,18679081.25,831.25,888.75,21017.25035
9/4/21,18678250,1068.75,937.5,19923.46667
8/4/21,18677181.25,737.5,928.75,20110.02019
7/4/21,18676443.75,987.5,955,19556.4856
6/4/21,18675456.25,1018.75,921.25,20271.86567
5/4/21,18674437.5,962.5,906.25,20606.27586
4/4/21,18673475,900,883.75,21129.81612
3/4/21,18672575,662.5,898.75,20776.16134
2/4/21,18671912.5,875,881.25,21187.98582
1/4/21,18671037.5,1093.75,877.5,21277.53561
31/3/21,18669943.75,875,921.25,20265.88195
30/3/21,18669068.75,881.25,965,19346.18523
29/3/21,18668187.5,881.25,966.25,19320.2458
